,BTC,ETH,XRP,SOL,TRX,ADA,DOGE,AVAX,DOT,LTC,SHIB,ICP,LINK,BCH,NEAR,UNI,ATOM,ETC
BTC,0.2062323523859265,0.22768940176815616,0.2111480483747569,0.2784169445525003,0.07404235617576478,0.27470275589987764,0.30290400430666425,0.28195823508499673,0.23809004512029577,0.19942404842355696,0.2625605702262941,0.24207949681539684,0.25893038701257143,0.22963812518752372,0.2922331676899448,0.26569413155698857,0.22183084197666558,0.23294996839718699
ETH,0.22768940176815616,0.4025625504814617,0.30347913425605466,0.37761042737053696,0.10750243342725382,0.40056975567898895,0.41603260209375553,0.40324506930864773,0.366181016669127,0.30523450481415365,0.3642184055848083,0.35722058984936744,0.40592996126615166,0.30644676203842935,0.42631012871345325,0.44254948658866433,0.3388474698181565,0.39073512117053233
XRP,0.2111480483747569,0.30347913425605466,0.6731625629919172,0.390735643887038,0.1313628633432077,0.5139944367407727,0.42301363208318243,0.42685074368147957,0.3959658333730762,0.36388533637956716,0.366925042969901,0.38239594293441004,0.42987645265823965,0.2883022196305393,0.42609797236668434,0.4100284090443788,0.37412296462299144,0.3603123032430744
SOL,0.2784169445525003,0.37761042737053696,0.390735643887038,0.7248541751560451,0.1524627769713772,0.514301654443097,0.49937825195771846,0.5636615269379078,0.4610648444817798,0.3476777551060226,0.44419873405507027,0.4388758981306399,0.49526643251067354,0.3555367254774653,0.5494378837066185,0.47828157984421255,0.41547366179073764,0.41177624218192765
TRX,0.07404235617576478,0.10750243342725382,0.1313628633432077,0.1524627769713772,0.355849386768507,0.16517429418273988,0.1361078886823938,0.15242229552348374,0.14613155425423682,0.12527708167356225,0.11265230696198349,0.1714104895596803,0.15132952327646576,0.13524706571426742,0.16447878825364184,0.17901996939745268,0.15182817643140795,0.142042361663441
ADA,0.27470275589987764,0.40056975567898895,0.5139944367407727,0.514301654443097,0.16517429418273988,0.7570904378346072,0.552596969652541,0.5786518584725387,0.5400303324466831,0.4069165625117488,0.4999620169362662,0.5119422312953082,0.5512952479352856,0.38015275955352057,0.5649131423281197,0.5320698569967153,0.49291027267682275,0.4653584409479816
DOGE,0.30290400430666425,0.41603260209375553,0.42301363208318243,0.49937825195771846,0.1361078886823938,0.552596969652541,0.7728009505230432,0.564677634327047,0.5143314214741798,0.41546588199661755,0.6206404585120906,0.49280761600160355,0.5103864267537319,0.42933478739680353,0.5810197536674874,0.5506709737512566,0.4745967017248197,0.47608550612363776
AVAX,0.28195823508499673,0.40324506930864773,0.42685074368147957,0.5636615269379078,0.15242229552348374,0.5786518584725387,0.564677634327047,0.8076595072126335,0.5621107059499719,0.4276778190066082,0.5147148130063632,0.572104528129406,0.5870033546555589,0.4020225533194761,0.6570945307340182,0.5628651884212097,0.5145044062018844,0.48062032331174837
DOT,0.23809004512029577,0.366181016669127,0.3959658333730762,0.4610648444817798,0.14613155425423682,0.5400303324466831,0.5143314214741798,0.5621107059499719,0.626192284413837,0.4183635312683959,0.4841083429552126,0.5246186020474913,0.5223804960139092,0.37648583479382297,0.6086156385579577,0.5418602693321378,0.5215308411586527,0.46662466600165703
LTC,0.19942404842355696,0.30523450481415365,0.36388533637956716,0.3476777551060226,0.12527708167356225,0.4069165625117488,0.41546588199661755,0.4276778190066082,0.4183635312683959,0.5502135198476673,0.3833671743137997,0.3940517599628745,0.41983088623757925,0.3820461998242782,0.4437465797734076,0.4221403969385326,0.38897874218780376,0.4052541487637473
SHIB,0.2625605702262941,0.3642184055848083,0.366925042969901,0.44419873405507027,0.11265230696198349,0.4999620169362662,0.6206404585120906,0.5147148130063632,0.4841083429552126,0.3833671743137997,0.7649951970107559,0.4874525947582452,0.4640289763802522,0.41192163933276726,0.5391396445814581,0.4934743433628343,0.4511325118353561,0.4583178842768377
ICP,0.24207949681539684,0.35722058984936744,0.38239594293441004,0.4388758981306399,0.1714104895596803,0.5119422312953082,0.49280761600160355,0.572104528129406,0.5246186020474913,0.3940517599628745,0.4874525947582452,0.943105420882738,0.5193966286670569,0.3578831114724027,0.6106895076722954,0.5369140377324081,0.5040425248974518,0.45186166740987527
LINK,0.25893038701257143,0.40592996126615166,0.42987645265823965,0.49526643251067354,0.15132952327646576,0.5512952479352856,0.5103864267537319,0.5870033546555589,0.5223804960139092,0.41983088623757925,0.4640289763802522,0.5193966286670569,0.757014457519368,0.4057665553944769,0.5960085554645348,0.5676136347470764,0.49119668188663185,0.47365415771937525
BCH,0.22963812518752372,0.30644676203842935,0.2883022196305393,0.3555367254774653,0.13524706571426742,0.38015275955352057,0.42933478739680353,0.4020225533194761,0.37648583479382297,0.3820461998242782,0.41192163933276726,0.3578831114724027,0.4057665553944769,0.7032709211035729,0.42252022967740627,0.4302581635858077,0.3493220772505602,0.42735895737573687
NEAR,0.2922331676899448,0.42631012871345325,0.42609797236668434,0.5494378837066185,0.16447878825364184,0.5649131423281197,0.5810197536674874,0.6570945307340182,0.6086156385579577,0.4437465797734076,0.5391396445814581,0.6106895076722954,0.5960085554645348,0.42252022967740627,0.9855150536054911,0.6074885002158663,0.5553515019119348,0.510894305209795
UNI,0.26569413155698857,0.44254948658866433,0.4100284090443788,0.47828157984421255,0.17901996939745268,0.5320698569967153,0.5506709737512566,0.5628651884212097,0.5418602693321378,0.4221403969385326,0.4934743433628343,0.5369140377324081,0.5676136347470764,0.4302581635858077,0.6074885002158663,1.0016538952735243,0.508788199072882,0.5185469000987718
ATOM,0.22183084197666558,0.3388474698181565,0.37412296462299144,0.41547366179073764,0.15182817643140795,0.49291027267682275,0.4745967017248197,0.5145044062018844,0.5215308411586527,0.38897874218780376,0.4511325118353561,0.5040425248974518,0.49119668188663185,0.3493220772505602,0.5553515019119348,0.508788199072882,0.5938187953964171,0.4411195103521526
ETC,0.23294996839718699,0.39073512117053233,0.3603123032430744,0.41177624218192765,0.142042361663441,0.4653584409479816,0.47608550612363776,0.48062032331174837,0.46662466600165703,0.4052541487637473,0.4583178842768377,0.45186166740987527,0.47365415771937525,0.42735895737573687,0.510894305209795,0.5185469000987718,0.4411195103521526,0.5589994685719407
