asset,symbol,first_date,last_date,n_observations,missing_pct
BTC,BTC/USDT,2023-04-08,2026-01-01,1000,0.0
UNI,UNI/USDT,2023-04-08,2026-01-01,1000,0.0
NEAR,NEAR/USDT,2023-04-08,2026-01-01,1000,0.0
BCH,BCH/USDT,2023-04-08,2026-01-01,1000,0.0
LINK,LINK/USDT,2023-04-08,2026-01-01,1000,0.0
ICP,ICP/USDT,2023-04-08,2026-01-01,1000,0.0
SHIB,SHIB/USDT,2023-04-08,2026-01-01,1000,0.0
LTC,LTC/USDT,2023-04-08,2026-01-01,1000,0.0
DOT,DOT/USDT,2023-04-08,2026-01-01,1000,0.0
AVAX,AVAX/USDT,2023-04-08,2026-01-01,1000,0.0
DOGE,DOGE/USDT,2023-04-08,2026-01-01,1000,0.0
ADA,ADA/USDT,2023-04-08,2026-01-01,1000,0.0
TRX,TRX/USDT,2023-04-08,2026-01-01,1000,0.0
SOL,SOL/USDT,2023-04-08,2026-01-01,1000,0.0
XRP,XRP/USDT,2023-04-08,2026-01-01,1000,0.0
ETH,ETH/USDT,2023-04-08,2026-01-01,1000,0.0
ATOM,ATOM/USDT,2023-04-08,2026-01-01,1000,0.0
ETC,ETC/USDT,2023-04-08,2026-01-01,1000,0.0
